traj,s1,s2,s3
0,4.53984067e-05,0,0
1,0.000989566906,0.000852818775,1.03409247e-05
2,0.0019625572,0.00173595804,2.16732587e-05
3,0.00296489242,0.0026500558,3.4049237e-05
4,0.00399711356,0.00359576987,4.75230081e-05
5,0.00505973678,0.0045737382,6.2150837e-05
6,0.00615333579,0.005584653,7.79915354e-05
7,0.00727847265,0.00662920391,9.51063703e-05
8,0.00843566284,0.00770803541,0.000113557609
9,0.00962550286,0.00882187486,0.000133411697
10,0.0108485669,0.0099714268,0.000154737034
11,0.0121054621,0.0111574428,0.000177604554
12,0.0133967223,0.0123805925,0.000202087642
13,0.0147229917,0.0136416648,0.000228262332
14,0.0160848368,0.0149413692,0.000256208063
15,0.017482901,0.0162805021,0.000286007504
16,0.0189178474,0.0176598821,0.000317747064
17,0.0203901716,0.019080149,0.000351511757
18,0.0219006129,0.020542223,0.00038739579
19,0.0234498493,0.0220469218,0.000425495062
20,0.02503841,0.0235949531,0.00046590541
21,0.0266670529,0.025187254,0.00050873193
22,0.0283364113,0.0268246066,0.000554077153
23,0.030047264,0.0285079796,0.000602056331
24,0.0318000577,0.0302380025,0.000652774528
25,0.0335956328,0.0320157222,0.000706354971
26,0.0354347713,0.0338420458,0.000762918615
27,0.0373181328,0.0357178785,0.000822593691
28,0.0392462946,0.0376439765,0.000885503774
29,0.0412201397,0.0396214351,0.000951790484
30,0.0432403237,0.0416510925,0.00102158892
31,0.0453076735,0.0437339693,0.0010950471
32,0.0474228114,0.0458709486,0.001172308
33,0.0495865978,0.0480630659,0.00125353166
34,0.0517999083,0.0503114052,0.00133888004
35,0.0540633276,0.052616816,0.00142851484
36,0.0563777499,0.0549803898,0.00152260636
37,0.0587438717,0.0574030653,0.0016213276
38,0.0611625016,0.0598858856,0.00172486331
39,0.0636348128,0.0624302253,0.00183340977
40,0.0661612675,0.0650368854,0.00194715452
41,0.0687425882,0.0677067563,0.00206628931
42,0.0713798404,0.0704411715,0.00219103182
43,0.0740742236,0.0732415468,0.00232160906
44,0.0768257454,0.0761082619,0.00245820591
45,0.0796360224,0.0790430903,0.00260108453
46,0.0825058222,0.0820471793,0.00275047892
47,0.0854355991,0.0851211473,0.00290660374
48,0.0884268731,0.0882668123,0.00306974654
